DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;PREÇO MÉDIO REVENDA
30/12/2012;05/01/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,733
06/01/2013;12/01/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,722
13/01/2013;19/01/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,714
20/01/2013;26/01/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,711
27/01/2013;02/02/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,729
03/02/2013;09/02/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,869
10/02/2013;16/02/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,867
17/02/2013;23/02/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,861
24/02/2013;02/03/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,852
03/03/2013;09/03/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,857
10/03/2013;16/03/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,847
17/03/2013;23/03/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,842
24/03/2013;30/03/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,832
31/03/2013;06/04/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,836
07/04/2013;13/04/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,828
14/04/2013;20/04/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,823
21/04/2013;27/04/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,830
28/04/2013;04/05/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,829
05/05/2013;11/05/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,831
12/05/2013;18/05/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,842
19/05/2013;25/05/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,855
26/05/2013;01/06/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,848
02/06/2013;08/06/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,830
09/06/2013;15/06/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,809
16/06/2013;22/06/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,801
23/06/2013;29/06/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,794
30/06/2013;06/07/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,789
07/07/2013;13/07/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,784
14/07/2013;20/07/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,781
21/07/2013;27/07/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,792
28/07/2013;03/08/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,783
04/08/2013;10/08/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,767
11/08/2013;17/08/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,794
18/08/2013;24/08/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,866
25/08/2013;31/08/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,867
01/09/2013;07/09/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,868
08/09/2013;14/09/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,870
15/09/2013;21/09/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,865
22/09/2013;28/09/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,864
29/09/2013;05/10/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,861
06/10/2013;12/10/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,865
13/10/2013;19/10/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,854
20/10/2013;26/10/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,852
27/10/2013;02/11/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,858
03/11/2013;09/11/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,859
10/11/2013;16/11/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,854
17/11/2013;23/11/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,851
24/11/2013;30/11/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,849
01/12/2013;07/12/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,909
08/12/2013;14/12/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,922
15/12/2013;21/12/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,940
