id_arrecadacao;id_uf;ANO;MÊS;va_icms_combustiveis
3222;PE;1997;1;11020917
3223;PE;1997;2;6620285
3224;PE;1997;3;14448265
3225;PE;1997;4;6216282
3226;PE;1997;5;9249340
3227;PE;1997;6;13363990
3228;PE;1997;7;6362140
3229;PE;1997;8;9699876
3230;PE;1997;9;9667699
3231;PE;1997;10;16832517
3232;PE;1997;11;11281725
3233;PE;1997;12;11479799
3234;PE;1998;1;11702378
3235;PE;1998;2;4420168
3236;PE;1998;3;11306557
3237;PE;1998;4;3934659
3238;PE;1998;5;9695867
3239;PE;1998;6;19927858
3240;PE;1998;7;21498319
3241;PE;1998;8;16900806
3242;PE;1998;9;17244692
3243;PE;1998;10;10540266
3244;PE;1998;11;12212124
3245;PE;1998;12;17597149
3246;PE;1999;1;8114095
3247;PE;1999;2;20742214
3248;PE;1999;3;9117405
3249;PE;1999;4;10437881
3250;PE;1999;5;14829255
3251;PE;1999;6;7892128
3252;PE;1999;7;6048494
3253;PE;1999;8;22638999
3254;PE;1999;9;29141894
3255;PE;1999;10;22472556
3256;PE;1999;11;32189893
3257;PE;1999;12;33015545
3258;PE;2000;1;33589575
3259;PE;2000;2;26087614
3260;PE;2000;3;42520537
3261;PE;2000;4;26090977
3262;PE;2000;5;32971857
3263;PE;2000;6;34535755
3264;PE;2000;7;28492775
3265;PE;2000;8;35637073
3266;PE;2000;9;34063460
3267;PE;2000;10;41194346
3268;PE;2000;11;37263210
3269;PE;2000;12;29216532
3270;PE;2001;1;33944057
3271;PE;2001;2;41098802
3272;PE;2001;3;35761280
3273;PE;2001;4;41894922
3274;PE;2001;5;30110852
3275;PE;2001;6;39120661
3276;PE;2001;7;35255046
3277;PE;2001;8;40290336
3278;PE;2001;9;34834037
3279;PE;2001;10;42000071
3280;PE;2001;11;48054970
3281;PE;2001;12;43783241
3282;PE;2002;1;76848955
3283;PE;2002;2;34458848
3284;PE;2002;3;47783730
3285;PE;2002;4;20582560
3286;PE;2002;5;51984679
3287;PE;2002;6;40577038
3288;PE;2002;7;49276579
3289;PE;2002;8;48047389
3290;PE;2002;9;44715024
3291;PE;2002;10;44173891
3292;PE;2002;11;51910831
3293;PE;2002;12;45302666
3294;PE;2003;1;61215680
3295;PE;2003;2;55481879
3296;PE;2003;3;36670710
3297;PE;2003;4;36610441
3298;PE;2003;5;67212960
3299;PE;2003;6;61312182
3300;PE;2003;7;57991790
3301;PE;2003;8;41466281
3302;PE;2003;9;65227749
3303;PE;2003;10;40600698
3304;PE;2003;11;60006400
3305;PE;2003;12;54855880
3306;PE;2004;1;68300022
3307;PE;2004;2;66442323
3308;PE;2004;3;52692692
3309;PE;2004;4;53768550
3310;PE;2004;5;46784098
3311;PE;2004;6;71492767
3312;PE;2004;7;60089954
3313;PE;2004;8;72307747
3314;PE;2004;9;65798806
3315;PE;2004;10;64618929
3316;PE;2004;11;61382955
3317;PE;2004;12;43231905
3318;PE;2005;1;61230912
3319;PE;2005;2;75893522
3320;PE;2005;3;56963273
3321;PE;2005;4;54624572
3322;PE;2005;5;60017883
3323;PE;2005;6;57991652
3324;PE;2005;7;65499432
3325;PE;2005;8;57851146
3326;PE;2005;9;49921535
3327;PE;2005;10;65432561
3328;PE;2005;11;85163074
3329;PE;2005;12;66108267
3330;PE;2006;1;71249961
3331;PE;2006;2;67863262
3332;PE;2006;3;66158836
3333;PE;2006;4;98267025
3334;PE;2006;5;83745557
3335;PE;2006;6;81381484
3336;PE;2006;7;87150159
3337;PE;2006;8;63584438
3338;PE;2006;9;72881834
3339;PE;2006;10;64519985
3340;PE;2006;11;76232289
3341;PE;2006;12;94037067
3342;PE;2007;1;78981404
3343;PE;2007;2;78545624
3344;PE;2007;3;70645794
3345;PE;2007;4;59107399
3346;PE;2007;5;73104069
3347;PE;2007;6;67586023
3348;PE;2007;7;82958613
3349;PE;2007;8;73512941
3350;PE;2007;9;77636821
3351;PE;2007;10;67343312
3352;PE;2007;11;88515805
3353;PE;2007;12;79968119
3354;PE;2008;1;93865000
3355;PE;2008;2;74567000
3356;PE;2008;3;79583000
3357;PE;2008;4;74611000
3358;PE;2008;5;84307000
3359;PE;2008;6;74180000
3360;PE;2008;7;88380000
3361;PE;2008;8;92975000
3362;PE;2008;9;98594000
3363;PE;2008;10;95262000
3364;PE;2008;11;100641000
3365;PE;2008;12;92710000
3366;PE;2009;1;106574000
3367;PE;2009;2;90048000
3368;PE;2009;3;76226000
3369;PE;2009;4;69856000
3370;PE;2009;5;74947000
3371;PE;2009;6;87195000
3372;PE;2009;7;94000258
3373;PE;2009;8;93873238
3374;PE;2009;9;93926309
